"";"N_arbol";"DAP_m";"Diametro_base_m";"Ht_m";"hi_m";"di_m";"Peso_total_trozas_kg";"Peso_verde_rodaja_kg";"Peso_seco_rodaja_kg";"Area_rodaja_m2";"Espesor_rodaja_m2";"Peso_verde_total_ramas_kg";"Peso_verde_total_hojas_kg";"Peso_verde_muestra_ramas_kg";"Peso_seco_muestra_ramas_kg";"Peso_verde_muestra_hojas_kg";"Peso_seco_muestra_hojas_kg"
"76";8;0,1635;0,2555;10,34;6,204;0,087216705;7;0,2031;0,1129;0,008225;0,0259625;NA;NA;NA;NA;NA;NA
"77";8;0,1635;0,2555;10,34;7,238;0,05952381;4;0,0952;0,0523;0,00524;0,0200125;NA;NA;NA;NA;NA;NA
"78";8;0,1635;0,2555;10,34;8,272;0,04806468;2,5;0,0303;0,0177;0,00216;0,0160375;NA;NA;NA;NA;NA;NA
"79";8;0,1635;0,2555;10,34;9,306;0,018780239;1,25;0,028;0,0158;0,00128;0,0210125;NA;NA;NA;NA;NA;NA
"80";8;0,1635;0,2555;10,34;10,34;0,01299;0,0932;0,0051;0,0034;0,00022;0,022975;NA;NA;NA;NA;NA;NA
"81";9;0,221;0,2675;13,85;1,385;0,238413547;49,93;1,378;0,6334;0,046995;0,0317;49,31;24,66;2,1;1,5;0,503;0,19
"82";9;0,221;0,2675;13,85;2,77;0,20753756;49;1,2635;0,5512;0,03853;0,033775;NA;NA;NA;NA;NA;NA
"83";9;0,221;0,2675;13,85;4,155;0,194168577;41,5;0,8625;0,36553;0,032705;0,02745;NA;NA;NA;NA;NA;NA
"84";9;0,221;0,2675;13,85;5,54;0,141965877;39;0,7177;0,30257;0,02891;0,0243875;NA;NA;NA;NA;NA;NA
"85";9;0,221;0,2675;13,85;6,925;0,135281385;21,5;0,3916;0,1709;0,015595;0,0268125;NA;NA;NA;NA;NA;NA
"86";9;0,221;0,2675;13,85;8,31;0,110771581;19,5;0,3947;0,1615;0,014183333;0,028825;NA;NA;NA;NA;NA;NA
"87";9;0,221;0,2675;13,85;9,695;0,105042017;12,5;0,2885;0,1294;0,008945;0,03215;NA;NA;NA;NA;NA;NA
"88";9;0,221;0,2675;13,85;11,08;0,071937866;9;0,1855;0,0807;0,00741;0,0236625;NA;NA;NA;NA;NA;NA
"89";9;0,221;0,2675;13,85;12,465;0,035014006;4;0,0856;0,038;0,0039;0,0212875;NA;NA;NA;NA;NA;NA
"90";9;0,221;0,2675;13,85;13,85;0,015915457;0,625;0,024;0,013;0,00089;0,026975;NA;NA;NA;NA;NA;NA
"91";10;0,153;0,1555;7,73;0,773;0,163610899;18;0,5159;0,27748;0,0193;0,0237375;17,12;8,56;2,8;1,8;0,557;0,24
"92";10;0,153;0,1555;7,73;1,546;0,158836262;17,5;0,5404;0,31534;0,018773;0,0271125;NA;NA;NA;NA;NA;NA
"93";10;0,153;0,1555;7,73;2,319;0,16329259;17;0,5261;0,28746;0,01804;0,025675;NA;NA;NA;NA;NA;NA
"94";10;0,153;0,1555;7,73;3,092;0,149605297;13,5;0,5024;0,27435;0,018;0,0244625;NA;NA;NA;NA;NA;NA
"95";10;0,153;0,1555;7,73;3,865;0,090081487;8,5;0,431;0,2464;0,01529;0,02615;NA;NA;NA;NA;NA;NA
"96";10;0,153;0,1555;7,73;4,638;0,069391393;5;0,1525;0,0901;0,005955;0,0238375;NA;NA;NA;NA;NA;NA
