"";"Arbol";"DAP..m.";"Ht..m.";"Hi..m.";"Di..m.";"Peso_total_troza..kg.";"Peso_rodajas_humedas_con_corteza.i1..kg.";"Peso_rodajas_humedas_con_corteza.i2..kg.";"Peso_rodajas_secas_con_corteza_.i1..kg.";"Peso_rodajas_secas_con_corteza_.i2..kg.";"Area_rodaja_con_corteza_i1..m2.";"Area_rodaja_con_corteza_i2..m2.";"Espesor_rodaja_i1..m.";"Espesor_rodaja_i2..m.";"Peso_verde.ramas..kg.";"Peso.verde.hojas..kg.";"Peso.verde.muestra.ramas..kg.";"Peso.seco.muestra.ramas..kg.";"Peso.verde.muestra.hojas..kg.";"Peso..seco.muestra.hojas"
"210";20;0,123;6,44;"0,000";0,177;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"211";20;0,123;6,44;"0,644";0,14;11;"0,4938";"0,39";"0,26809";"0,224";0,01931;0,014855;0,0265125;0,0274;11,34;5,67;2,2;1,5;0,488;0,17
"212";20;0,123;6,44;"1,288";0,126;9;"0,2386";"0,1938";"0,1372";"0,1147";0,014566;0,01174;0,016825;0,0173;NA;NA;NA;NA;NA;NA
"213";20;0,123;6,44;"1,932";0,124;10;"0,4992";"0,2432";"0,2811";"0,135";0,011775;0,01063;0,042075;0,023425;NA;NA;NA;NA;NA;NA
"214";20;0,123;6,44;"2,576";0,135;8,5;"0,1777";"0,2191";"0,0999";"0,0994";0,010333;0,00975;0,0174125;0,0210875;NA;NA;NA;NA;NA;NA
"215";20;0,123;6,44;"3,220";0,099;6;"0,2977";"0,1464";"0,1619";"0,0779";0,01395;0,006965;0,0193625;0,0213375;NA;NA;NA;NA;NA;NA
"216";20;0,123;6,44;"3,864";0,096;4,5;"0,111";"0,1585";"0,059";"0,0819";0,006765;0,00601;0,0170125;0,0273875;NA;NA;NA;NA;NA;NA
"217";20;0,123;6,44;"4,508";0,059;5;"0,1667";"0,08";"0,0861";"0,0424";0,00719;0,002535;0,0248;0,0324125;NA;NA;NA;NA;NA;NA
"218";20;0,123;6,44;"5,152";0,048;2;"0,0529";"0,1608";"0,0283";"0,0806";0,002383;0,004983;0,02197375;0,034075;NA;NA;NA;NA;NA;NA
"219";20;0,123;6,44;"5,796";0,017;0,59;"0,0503";"0,0034";"0,0282";"0,0019";0,001635;0,000186;0,0297;0,016325;NA;NA;NA;NA;NA;NA
"220";20;0,123;6,44;"6,440";0,013;0,1;"0,0018";"0,0007";"0,0009";"0,0004";0,000163;2,6e-05;0,012025;0,026375;NA;NA;NA;NA;NA;NA
"221";21;0,231;11,45;"0,000";0,277;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"222";21;0,231;11,45;"1,145";0,236;54;"1.615";"1.211";"0,91648";"0,69313";0,051315;0,042545;0,02815;0,0257375;46,94;23,47;2,6;1,6;0,516;0,23
"223";21;0,231;11,45;"2,290";0,233;53;"1.158";"1.361";"0,67605";"0,73845";0,041315;0,038063;0,0263125;0,0324875;NA;NA;NA;NA;NA;NA
"224";21;0,231;11,45;"3,435";0,178;58;"1.171";"0,944";"0,65557";"0,53085";0,03852;0,0292;0,0269;0,0287;NA;NA;NA;NA;NA;NA
"225";21;0,231;11,45;"4,580";0,151;27;"0,7978";"0,3409";"0,45724";"0,18691";0,022353;0,016135;0,0326125;0,019225;NA;NA;NA;NA;NA;NA
"226";21;0,231;11,45;"5,725";0,113;16;"0,4143";"0,1652";"0,22946";"0,092";0,01683;0,00945;0,0225375;0,016355;NA;NA;NA;NA;NA;NA
"227";21;0,231;11,45;"6,870";0,099;12;"0,2563";"0,1743";"0,1431";"0,0957";0,009276;0,00722;0,0250125;0,0222125;NA;NA;NA;NA;NA;NA
"228";21;0,231;11,45;"8,015";0,078;8;"0,2231";"0,0958";"0,124";"0,0523";0,007113;0,004325;0,0283125;0,022075;NA;NA;NA;NA;NA;NA
"229";21;0,231;11,45;"9,160";0,041;5;"0,152";"0,0647";"0,0823";"0,0333";0,004203;0,001195;0,0338875;0,0453375;NA;NA;NA;NA;NA;NA
"230";21;0,231;11,45;"10,305";0,023;1,5;"0,0326";"0,0202";"0,0234";"0,0097";0,001115;0,00037;0,027775;0,050075;NA;NA;NA;NA;NA;NA
"231";21;0,231;11,45;"11,450";0,008;0,22;"0,008";"0,004";"0,0069";"0,0014";0,000535;8e-05;0,035525;0,03625;NA;NA;NA;NA;NA;NA
"232";22;0,383;17,81;"0,000";0,48;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"233";22;0,383;17,81;"1,781";0,379;243,5;"5.982";"3,59";"34.794";"20.395";0,152176;0,106876;0,0390875;0,0317875;177,5;88,75;2,2;1,5;0,547;0,26
"234";22;0,383;17,81;"3,562";0,461;236;"4,07";"5.395";"23.615";"31.425";0,10805;0,144725;0,034075;0,0313625;NA;NA;NA;NA;NA;NA
